gen alive: 62, params: (14.110659370384004, 1.6725387766365891, 2.7262102930984993, 1.0988509935146311, 975.1551830278196), id: 8059, score: 39
gen alive: 61, params: (19.673797346238473, 1.1099373159890797, 2.7262102930984993, 1.0747342124475308, 975.1551830278196), id: 8391, score: 39
gen alive: 61, params: (17.412989344154628, 1.1099373159890797, 2.7262102930984993, 1.0988509935146311, 975.1551830278196), id: 8517, score: 39
gen alive: 60, params: (18.76079565831959, 1.6725387766365891, 2.7262102930984993, 1.0988509935146311, 975.1551830278196), id: 8628, score: 39
gen alive: 59, params: (15.135609701323514, 1.6725387766365891, 2.7262102930984993, 1.0988509935146311, 975.1551830278196), id: 8729, score: 39
gen alive: 50, params: (14.110659370384004, 1.1099373159890797, 2.1166611715827957, 1.0189873773785487, 975.1551830278196), id: 8506, score: 39
gen alive: 49, params: (15.135609701323514, 1.1099373159890797, 2.166564721762068, 1.0747342124475308, 975.1551830278196), id: 8619, score: 39
gen alive: 30, params: (19.673797346238473, 1.1099373159890797, 2.9730511511582653, 1.0189873773785487, 808.7808997704716), id: 6929, score: 39
gen alive: 51, params: (19.673797346238473, 1.1099373159890797, 2.7262102930984993, 1.0988509935146311, 975.1551830278196), id: 8738, score: 37
gen alive: 62, params: (15.135609701323514, 1.6725387766365891, 2.166564721762068, 1.0988509935146311, 975.1551830278196), id: 7281, score: 36
gen alive: 62, params: (17.412989344154628, 1.6725387766365891, 2.7262102930984993, 1.0747342124475308, 975.1551830278196), id: 8064, score: 36
gen alive: 59, params: (14.110659370384004, 1.1099373159890797, 2.7262102930984993, 1.0747342124475308, 975.1551830278196), id: 8504, score: 36
gen alive: 59, params: (15.135609701323514, 1.1099373159890797, 2.7262102930984993, 1.0988509935146311, 975.1551830278196), id: 8629, score: 36
gen alive: 58, params: (19.673797346238473, 1.6725387766365891, 2.7262102930984993, 1.0988509935146311, 975.1551830278196), id: 7615, score: 36
gen alive: 58, params: (15.135609701323514, 1.1099373159890797, 2.7262102930984993, 1.0988509935146311, 975.1551830278196), id: 8398, score: 36
