gen alive: 33, params: (19.635336631583883, 1.1239482682808002, 2.4049454912356936, 1.6776001860722989), id: 733, score: 51
gen alive: 31, params: (18.870254478394997, 1.1239482682808002, 2.561097532989532, 1.7412419496998313), id: 764, score: 43
gen alive: 40, params: (19.635336631583883, 1.601864347899233, 2.5251400462995677, 1.6776001860722989), id: 725, score: 42
gen alive: 35, params: (19.635336631583883, 1.1239482682808002, 2.4049454912356936, 1.6776001860722989), id: 816, score: 42
gen alive: 34, params: (19.635336631583883, 1.1239482682808002, 2.4049454912356936, 1.7412419496998313), id: 792, score: 42
gen alive: 25, params: (18.128785648185026, 1.601864347899233, 2.561097532989532, 1.7412419496998313), id: 731, score: 42
gen alive: 35, params: (19.635336631583883, 1.1239482682808002, 2.4049454912356936, 1.7412419496998313), id: 741, score: 40
gen alive: 34, params: (19.635336631583883, 1.1239482682808002, 2.4049454912356936, 1.6776001860722989), id: 805, score: 39
gen alive: 19, params: (17.440557566179955, 1.1239482682808002, 2.091662372219571, 1.6776001860722989), id: 808, score: 39
gen alive: 18, params: (17.440557566179955, 1.1239482682808002, 2.7155533603402495, 1.6776001860722989), id: 810, score: 39
gen alive: 1, params: (1.4005434996888733, 2.4187580050622692, 2.9666338090834166, 2.684692504387405), id: 788, score: 39
gen alive: 1, params: (19.364372090417845, 3.081930273821303, 2.6282258751871095, 3.460920149092604), id: 797, score: 39
gen alive: 35, params: (19.635336631583883, 1.1239482682808002, 2.4049454912356936, 1.6776001860722989), id: 803, score: 37
gen alive: 38, params: (19.635336631583883, 1.601864347899233, 2.5251400462995677, 1.6776001860722989), id: 697, score: 36
gen alive: 36, params: (19.635336631583883, 1.1239482682808002, 2.091662372219571, 1.7412419496998313), id: 812, score: 36
gen alive: 35, params: (19.635336631583883, 1.1239482682808002, 2.4049454912356936, 1.6776001860722989), id: 769, score: 36
gen alive: 2, params: (18.079350911857397, 1.204592966817145, 2.5969702569747035, 5.886043080516993), id: 791, score: 36
gen alive: 19, params: (18.079350911857397, 1.1239482682808002, 2.5969702569747035, 1.6776001860722989), id: 811, score: 35
gen alive: 33, params: (19.635336631583883, 1.1239482682808002, 2.5251400462995677, 1.6776001860722989), id: 817, score: 34
gen alive: 41, params: (19.635336631583883, 1.1239482682808002, 2.561097532989532, 1.7412419496998313), id: 716, score: 33
gen alive: 38, params: (19.635336631583883, 1.1239482682808002, 2.4419696760105993, 1.6776001860722989), id: 763, score: 33
gen alive: 38, params: (19.635336631583883, 1.601864347899233, 2.8804613825672094, 1.6776001860722989), id: 814, score: 33
gen alive: 35, params: (19.635336631583883, 1.1239482682808002, 2.4049454912356936, 1.6776001860722989), id: 776, score: 33
gen alive: 19, params: (19.635336631583883, 1.1239482682808002, 2.2770032816158, 1.1732313053633865), id: 774, score: 33
gen alive: 36, params: (19.635336631583883, 1.1239482682808002, 2.4419696760105993, 1.6776001860722989), id: 813, score: 32
gen alive: 37, params: (19.635336631583883, 1.1239482682808002, 2.091662372219571, 1.6776001860722989), id: 768, score: 31
gen alive: 35, params: (19.635336631583883, 1.1239482682808002, 2.4049454912356936, 1.6776001860722989), id: 807, score: 31
gen alive: 36, params: (19.635336631583883, 1.1239482682808002, 2.8804613825672094, 1.6776001860722989), id: 770, score: 30
gen alive: 35, params: (19.635336631583883, 1.1239482682808002, 2.091662372219571, 1.6776001860722989), id: 804, score: 30
gen alive: 32, params: (18.870254478394997, 1.1239482682808002, 2.4049454912356936, 3.3664531631655876), id: 806, score: 30
gen alive: 29, params: (18.870254478394997, 1.1239482682808002, 2.5251400462995677, 3.3664531631655876), id: 766, score: 30
gen alive: 18, params: (18.079350911857397, 1.204592966817145, 2.4049454912356936, 5.886043080516993), id: 815, score: 30
gen alive: 1, params: (18.574820421359153, 18.171513004610894, 2.4426290435654914, 9.132899579593325), id: 735, score: 30
gen alive: 1, params: (18.224083456895276, 4.499757684905969, 2.2316636105822365, 19.667933032725358), id: 781, score: 30
gen alive: 38, params: (19.635336631583883, 1.1239482682808002, 2.8804613825672094, 1.7412419496998313), id: 793, score: 28
gen alive: 1, params: (2.6096160880508066, 2.1213859249635236, 2.2935680689442366, 3.7667439680443913), id: 795, score: 28
