gen alive: 30, params: (19.59051895382983, 1.4295036273582022, 2.86420114125947, 1.2701039994344425), id: 3808, score: 112
gen alive: 63, params: (19.59051895382983, 1.1702814743831782, 2.9286049152843754, 1.4620137274045208), id: 3772, score: 107
gen alive: 62, params: (19.59051895382983, 1.6868515037739238, 2.9727055046289053, 1.4620137274045208), id: 3886, score: 104
gen alive: 63, params: (19.59051895382983, 1.1702814743831782, 2.9727055046289053, 1.4620137274045208), id: 3833, score: 103
gen alive: 63, params: (19.59051895382983, 1.4144881040977295, 2.9727055046289053, 1.4620137274045208), id: 3871, score: 102
gen alive: 45, params: (19.59051895382983, 1.4295036273582022, 2.86420114125947, 1.2701039994344425), id: 3869, score: 102
gen alive: 63, params: (19.59051895382983, 1.1702814743831782, 2.9727055046289053, 1.4620137274045208), id: 3883, score: 100
gen alive: 62, params: (19.59051895382983, 1.1702814743831782, 2.9727055046289053, 1.4620137274045208), id: 3868, score: 100
gen alive: 62, params: (19.59051895382983, 1.6868515037739238, 2.9727055046289053, 1.4620137274045208), id: 3887, score: 99
gen alive: 63, params: (19.59051895382983, 1.1702814743831782, 2.9727055046289053, 1.4620137274045208), id: 3877, score: 96
gen alive: 62, params: (19.59051895382983, 1.1702814743831782, 2.9727055046289053, 1.4620137274045208), id: 3873, score: 95
gen alive: 63, params: (19.59051895382983, 1.1702814743831782, 2.9727055046289053, 1.4620137274045208), id: 3781, score: 94
gen alive: 62, params: (19.59051895382983, 1.4144881040977295, 2.9286049152843754, 1.4620137274045208), id: 3861, score: 94
gen alive: 63, params: (19.59051895382983, 1.4144881040977295, 2.9727055046289053, 1.4620137274045208), id: 3870, score: 93
gen alive: 62, params: (19.59051895382983, 1.4144881040977295, 2.9727055046289053, 1.4620137274045208), id: 3876, score: 93
gen alive: 63, params: (19.59051895382983, 1.4144881040977295, 2.9727055046289053, 1.4620137274045208), id: 3875, score: 92
gen alive: 61, params: (19.59051895382983, 1.6868515037739238, 2.9727055046289053, 1.4620137274045208), id: 3843, score: 92
gen alive: 61, params: (18.959497360695586, 1.4144881040977295, 2.9727055046289053, 1.4620137274045208), id: 3836, score: 91
gen alive: 63, params: (19.59051895382983, 1.6868515037739238, 2.9727055046289053, 1.4620137274045208), id: 3880, score: 90
gen alive: 62, params: (18.959497360695586, 1.1702814743831782, 2.9727055046289053, 1.4620137274045208), id: 3867, score: 89
gen alive: 62, params: (19.59051895382983, 1.1702814743831782, 2.9727055046289053, 1.4620137274045208), id: 3874, score: 89
gen alive: 61, params: (19.59051895382983, 1.1702814743831782, 2.9286049152843754, 1.4620137274045208), id: 3849, score: 89
gen alive: 63, params: (19.59051895382983, 1.1702814743831782, 2.9727055046289053, 1.4620137274045208), id: 3852, score: 88
gen alive: 62, params: (19.59051895382983, 1.6868515037739238, 2.9727055046289053, 1.4620137274045208), id: 3859, score: 88
gen alive: 62, params: (19.59051895382983, 1.4144881040977295, 2.9727055046289053, 1.4620137274045208), id: 3864, score: 88
gen alive: 63, params: (19.59051895382983, 1.1702814743831782, 2.9286049152843754, 1.4620137274045208), id: 3793, score: 87
gen alive: 63, params: (19.59051895382983, 1.1702814743831782, 2.9727055046289053, 1.4620137274045208), id: 3885, score: 87
gen alive: 63, params: (19.59051895382983, 1.1702814743831782, 2.9727055046289053, 1.4620137274045208), id: 3866, score: 86
gen alive: 63, params: (19.59051895382983, 1.6868515037739238, 2.9727055046289053, 1.4620137274045208), id: 3848, score: 85
gen alive: 63, params: (19.59051895382983, 1.4144881040977295, 2.9727055046289053, 1.4620137274045208), id: 3884, score: 85
gen alive: 62, params: (19.59051895382983, 1.6868515037739238, 2.9727055046289053, 1.4620137274045208), id: 3881, score: 84
gen alive: 63, params: (19.59051895382983, 1.1702814743831782, 2.9727055046289053, 1.4620137274045208), id: 3847, score: 82
gen alive: 63, params: (19.59051895382983, 1.1702814743831782, 2.9286049152843754, 1.4620137274045208), id: 3844, score: 82
gen alive: 1, params: (5.733988141240154, 1.286089596168769, 2.8520267647506543, 1.6564266156430705), id: 3819, score: 82
gen alive: 61, params: (19.59051895382983, 1.4144881040977295, 2.9727055046289053, 1.4620137274045208), id: 3827, score: 81
gen alive: 63, params: (19.59051895382983, 1.4144881040977295, 2.9727055046289053, 1.4620137274045208), id: 3854, score: 80
gen alive: 63, params: (19.59051895382983, 1.1702814743831782, 2.9727055046289053, 1.4620137274045208), id: 3806, score: 80
gen alive: 63, params: (19.59051895382983, 1.6868515037739238, 2.9286049152843754, 1.4620137274045208), id: 3845, score: 79
gen alive: 62, params: (19.59051895382983, 1.1702814743831782, 2.9727055046289053, 1.4620137274045208), id: 3865, score: 78
gen alive: 63, params: (19.59051895382983, 1.6868515037739238, 2.9727055046289053, 1.4620137274045208), id: 3863, score: 77
gen alive: 60, params: (19.59051895382983, 1.4144881040977295, 2.9727055046289053, 1.4620137274045208), id: 3879, score: 77
gen alive: 63, params: (19.59051895382983, 1.1702814743831782, 2.9727055046289053, 1.4620137274045208), id: 3846, score: 76
gen alive: 63, params: (19.59051895382983, 1.4144881040977295, 2.9727055046289053, 1.4620137274045208), id: 3855, score: 76
gen alive: 62, params: (19.59051895382983, 1.6868515037739238, 2.9727055046289053, 1.4620137274045208), id: 3878, score: 76
gen alive: 61, params: (18.959497360695586, 1.1702814743831782, 2.9727055046289053, 1.4620137274045208), id: 3798, score: 76
gen alive: 60, params: (19.59051895382983, 1.4144881040977295, 2.9727055046289053, 1.4620137274045208), id: 3831, score: 76
gen alive: 59, params: (18.959497360695586, 1.4144881040977295, 2.9727055046289053, 1.4620137274045208), id: 3807, score: 76
gen alive: 46, params: (19.59051895382983, 1.1702814743831782, 2.86420114125947, 1.4620137274045208), id: 3882, score: 76
gen alive: 63, params: (19.59051895382983, 1.4144881040977295, 2.9727055046289053, 1.4620137274045208), id: 3789, score: 75
gen alive: 61, params: (19.59051895382983, 1.6868515037739238, 2.9727055046289053, 1.4620137274045208), id: 3841, score: 75
gen alive: 1, params: (19.325851293785394, 3.4213798228221473, 2.8220067499366692, 3.2045504587163385), id: 3802, score: 75
gen alive: 62, params: (19.59051895382983, 1.4144881040977295, 2.9727055046289053, 1.4620137274045208), id: 3872, score: 74
gen alive: 61, params: (18.959497360695586, 1.6868515037739238, 2.9727055046289053, 1.4620137274045208), id: 3829, score: 72
gen alive: 61, params: (19.59051895382983, 1.6868515037739238, 2.9286049152843754, 1.4620137274045208), id: 3856, score: 72
gen alive: 63, params: (19.59051895382983, 1.1702814743831782, 2.9286049152843754, 1.4620137274045208), id: 3817, score: 69
gen alive: 63, params: (19.59051895382983, 1.6868515037739238, 2.9727055046289053, 1.4620137274045208), id: 3860, score: 69
gen alive: 62, params: (18.959497360695586, 1.6868515037739238, 2.9727055046289053, 1.4620137274045208), id: 3862, score: 69
gen alive: 63, params: (19.59051895382983, 1.4144881040977295, 2.9727055046289053, 1.4620137274045208), id: 3757, score: 66
