gen alive: 15, params: corner divisor: 2.3506686010898745, corner exponent: 2.2606340015475865, danger divisor: 3.796516732917544, min opp score: 308.21909297121204, id: 4848, score: 39
gen alive: 11, params: corner divisor: 2.3506686010898745, corner exponent: 2.975698261678251, danger divisor: 12.090310707206116, min opp score: 101.1610377182963, id: 4670, score: 39
gen alive: 10, params: corner divisor: 2.929206847728001, corner exponent: 1.4375481092223572, danger divisor: 9.594020057734317, min opp score: 116.1817429234637, id: 5263, score: 36
gen alive: 9, params: min opp score: 101.9816520688636, corner divisor: 1.5310219545644048, corner exponent: 1.7458815348936094, danger divisor: 4.759897664271012, id: 5195, score: 36
gen alive: 8, params: min opp score: 841.9953056151525, danger divisor: 8.831327708991182, corner divisor: 4.00303783829891, corner exponent: 2.6739638587794916, id: 5306, score: 36
gen alive: 8, params: corner divisor: 2.929206847728001, corner exponent: 1.4375481092223572, danger divisor: 3.796516732917544, min opp score: 100.10656952341613, id: 5360, score: 36
gen alive: 6, params: min opp score: 923.8871576989344, danger divisor: 5.1203181262998445, corner divisor: 2.3506686010898745, corner exponent: 2.192998573419733, id: 5245, score: 36
gen alive: 3, params: min opp score: 409.91157564218923, danger divisor: 2.624583429034368, corner divisor: 4.576427004489257, corner exponent: 2.5781419922443383, id: 5049, score: 36
gen alive: 6, params: min opp score: 220.47970374266245, corner divisor: 1.3142491369445581, corner exponent: 2.213781722579559, danger divisor: 1.2373134973252098, id: 5029, score: 34
gen alive: 13, params: min opp score: 335.6190432629545, corner divisor: 1.5310219545644048, corner exponent: 2.3408568067973343, danger divisor: 1.5537486913611744, id: 4620, score: 33
gen alive: 12, params: min opp score: 100.10656952341613, corner divisor: 1.1676389748210614, corner exponent: 2.3408568067973343, danger divisor: 1.5537486913611744, id: 4839, score: 33
gen alive: 12, params: corner divisor: 1.1676389748210614, corner exponent: 2.975698261678251, danger divisor: 13.901175922884406, min opp score: 100.10656952341613, id: 4361, score: 33
gen alive: 10, params: min opp score: 215.6534055459672, corner divisor: 9.240346406981443, corner exponent: 2.9355410785547242, danger divisor: 5.1203181262998445, id: 5124, score: 33
gen alive: 7, params: min opp score: 940.2698258864858, corner divisor: 1.5310219545644048, corner exponent: 2.3408568067973343, danger divisor: 1.5537486913611744, id: 5215, score: 33
gen alive: 7, params: corner divisor: 1.1676389748210614, corner exponent: 1.6278222462949008, danger divisor: 8.046889147464693, min opp score: 272.14483671774246, id: 5356, score: 33
gen alive: 11, params: min opp score: 300.88909982519965, danger divisor: 5.1203181262998445, corner divisor: 10.412138896373664, corner exponent: 2.8935209404083704, id: 4668, score: 31
gen alive: 5, params: min opp score: 237.88584191535557, corner divisor: 1.5310219545644048, corner exponent: 1.727524045341805, danger divisor: 5.054165035823563, id: 5247, score: 31
gen alive: 3, params: min opp score: 107.92417199617526, danger divisor: 2.91215121508312, corner divisor: 2.929206847728001, corner exponent: 1.5917552234781398, id: 5318, score: 31
gen alive: 14, params: min opp score: 466.95872275068115, danger divisor: 8.831327708991182, corner divisor: 1.5310219545644048, corner exponent: 2.3408568067973343, id: 5369, score: 30
gen alive: 12, params: min opp score: 466.95872275068115, danger divisor: 2.9714413981049477, corner divisor: 4.00303783829891, corner exponent: 2.6739638587794916, id: 5062, score: 30
gen alive: 10, params: min opp score: 335.6190432629545, danger divisor: 3.796516732917544, corner divisor: 1.5310219545644048, corner exponent: 1.727524045341805, id: 5377, score: 30
gen alive: 9, params: min opp score: 262.31533354459214, corner divisor: 2.3506686010898745, corner exponent: 2.192998573419733, danger divisor: 1.2373134973252098, id: 5266, score: 30
gen alive: 9, params: corner divisor: 2.3506686010898745, corner exponent: 2.3408568067973343, danger divisor: 3.796516732917544, min opp score: 789.5755498497263, id: 5371, score: 30
gen alive: 8, params: min opp score: 940.2698258864858, corner divisor: 1.5310219545644048, corner exponent: 2.021810565452122, danger divisor: 1.2373134973252098, id: 5363, score: 30
gen alive: 6, params: corner divisor: 1.1676389748210614, corner exponent: 2.1814574775291447, danger divisor: 1.5537486913611744, min opp score: 579.5182957038164, id: 5199, score: 30
gen alive: 5, params: min opp score: 162.08532306495255, danger divisor: 3.796516732917544, corner divisor: 3.546408867703937, corner exponent: 2.066837180768303, id: 5302, score: 30
gen alive: 5, params: min opp score: 215.6534055459672, danger divisor: 10.442487465501694, corner divisor: 2.01367601221817, corner exponent: 2.192998573419733, id: 5322, score: 30
gen alive: 5, params: min opp score: 218.7539601337682, corner divisor: 1.3142491369445581, corner exponent: 2.603127965674868, danger divisor: 2.8474695688573215, id: 5326, score: 30
gen alive: 1, params: min opp score: 459.7460235541309, corner divisor: 1.3595780998912912, corner exponent: 2.1814574775291447, danger divisor: 5.005184584595007, id: 5254, score: 30
gen alive: 10, params: corner divisor: 1.1676389748210614, corner exponent: 2.975698261678251, danger divisor: 1.2373134973252098, min opp score: 100.10656952341613, id: 5383, score: 28
