gen alive: 16, params: danger divisor: 13.898573548339712, min opp score: 428.43930646239744, corner divisor: 4.256293339554383, corner exponent: 1.5667532729206057, id: 57395, score: 6
gen alive: 13, params: danger divisor: 2.818722859621023, min opp score: 869.1513625511938, corner divisor: 1.4349464399088383, corner exponent: 2.4401458802567406, id: 60650, score: 6
gen alive: 13, params: danger divisor: 1.077550911108299, corner divisor: 1.9829048516469048, corner exponent: 2.3441594014389437, min opp score: 316.8554663165308, id: 63147, score: 6
gen alive: 12, params: danger divisor: 5.184922336002935, corner divisor: 4.465786036298703, corner exponent: 2.4401458802567406, min opp score: 316.8554663165308, id: 62207, score: 6
gen alive: 12, params: danger divisor: 13.898573548339712, min opp score: 428.43930646239744, corner divisor: 2.6286749640684217, corner exponent: 1.5667532729206057, id: 63769, score: 6
gen alive: 11, params: danger divisor: 3.4130132497369856, min opp score: 287.938640264888, corner divisor: 2.2654087676256687, corner exponent: 2.8221839712707095, id: 61945, score: 6
gen alive: 11, params: min opp score: 231.86894754764094, danger divisor: 5.184922336002935, corner divisor: 2.6286749640684217, corner exponent: 2.032506636002845, id: 62114, score: 6
gen alive: 11, params: danger divisor: 1.5574406895406747, min opp score: 120.72158126605794, corner divisor: 2.4307579099567613, corner exponent: 1.4102489679590064, id: 61383, score: 6
gen alive: 11, params: danger divisor: 12.551115834127327, min opp score: 120.72158126605794, corner divisor: 3.1453760796352537, corner exponent: 2.883588699711776, id: 63263, score: 6
gen alive: 11, params: danger divisor: 2.0452638675957546, min opp score: 120.72158126605794, corner divisor: 6.313487090742711, corner exponent: 1.4173844822793837, id: 63662, score: 6
gen alive: 11, params: danger divisor: 14.527104119243862, min opp score: 120.72158126605794, corner divisor: 3.1453760796352537, corner exponent: 2.883588699711776, id: 63752, score: 6
gen alive: 10, params: corner divisor: 1.4987651649139213, corner exponent: 1.8312733047166156, min opp score: 359.29892268616777, danger divisor: 14.852681203332526, id: 62155, score: 6
gen alive: 10, params: danger divisor: 5.099494234679468, min opp score: 256.74663921660476, corner divisor: 3.1453760796352537, corner exponent: 2.883588699711776, id: 62627, score: 6
gen alive: 10, params: danger divisor: 5.422558978790651, min opp score: 314.41237109085296, corner divisor: 5.161894852645707, corner exponent: 2.824501785411363, id: 62660, score: 6
gen alive: 10, params: danger divisor: 2.818722859621023, min opp score: 869.1513625511938, corner divisor: 9.999434703502178, corner exponent: 1.6235227401608632, id: 63131, score: 6
gen alive: 10, params: danger divisor: 14.527104119243862, min opp score: 323.5573103970566, corner divisor: 4.256293339554383, corner exponent: 1.5667532729206057, id: 63636, score: 6
gen alive: 10, params: danger divisor: 13.495547704828212, min opp score: 200.9038166264831, corner divisor: 1.9829048516469048, corner exponent: 2.3441594014389437, id: 63703, score: 6
gen alive: 10, params: danger divisor: 2.0284574225619605, corner divisor: 4.465786036298703, corner exponent: 2.4401458802567406, min opp score: 120.72158126605794, id: 63746, score: 6
gen alive: 9, params: danger divisor: 2.690371722650835, min opp score: 206.68646716513717, corner divisor: 2.2111998301497744, corner exponent: 2.7983198296815703, id: 61801, score: 6
gen alive: 9, params: danger divisor: 5.099494234679468, min opp score: 348.778673378085, corner divisor: 6.402195985710644, corner exponent: 2.4401458802567406, id: 62150, score: 6
gen alive: 9, params: danger divisor: 2.0452638675957546, min opp score: 270.6325821783138, corner divisor: 2.638316470814125, corner exponent: 2.7983198296815703, id: 62663, score: 6
gen alive: 9, params: min opp score: 231.86894754764094, danger divisor: 5.184922336002935, corner divisor: 2.6286749640684217, corner exponent: 1.2302634429142136, id: 62683, score: 6
gen alive: 9, params: danger divisor: 1.077550911108299, corner divisor: 2.566939015775496, corner exponent: 2.3441594014389437, min opp score: 308.9344273293316, id: 62692, score: 6
gen alive: 9, params: danger divisor: 4.432226922435602, min opp score: 346.4126685008731, corner divisor: 1.4250631408404224, corner exponent: 1.8923793178759525, id: 62694, score: 6
gen alive: 9, params: danger divisor: 3.4130132497369856, min opp score: 213.73779744841642, corner divisor: 2.2654087676256687, corner exponent: 2.8221839712707095, id: 62738, score: 6
gen alive: 9, params: danger divisor: 5.099494234679468, min opp score: 154.47936466021892, corner divisor: 3.1453760796352537, corner exponent: 2.828991769275812, id: 62857, score: 6
gen alive: 9, params: danger divisor: 2.0284574225619605, corner divisor: 1.9829048516469048, corner exponent: 1.303701395919188, min opp score: 120.72158126605794, id: 63021, score: 6
gen alive: 9, params: danger divisor: 1.077550911108299, min opp score: 680.260815140188, corner divisor: 2.2654087676256687, corner exponent: 2.8221839712707095, id: 63154, score: 6
gen alive: 9, params: danger divisor: 8.944483122685195, min opp score: 246.2384868027461, corner divisor: 5.311353079304133, corner exponent: 2.2226426209304995, id: 63157, score: 6
gen alive: 9, params: danger divisor: 13.116095385764414, min opp score: 408.6191519845239, corner divisor: 1.4987651649139213, corner exponent: 2.931940679261547, id: 63180, score: 6
gen alive: 9, params: danger divisor: 11.089955851693237, corner divisor: 5.701942616978307, corner exponent: 2.8809413633295873, min opp score: 120.72158126605794, id: 63589, score: 6
gen alive: 9, params: danger divisor: 7.301117355670719, corner divisor: 5.311353079304133, corner exponent: 2.2226426209304995, min opp score: 183.71722765377163, id: 63689, score: 6
gen alive: 9, params: danger divisor: 7.900779671738023, corner divisor: 3.487430242958225, corner exponent: 2.2112793866290104, min opp score: 321.9438730391629, id: 63724, score: 6
gen alive: 9, params: danger divisor: 10.065954761764734, corner divisor: 6.382532536342733, corner exponent: 2.3441594014389437, min opp score: 120.72158126605794, id: 63735, score: 6
