gen alive: 21, params: danger divisor: 7.301117355670719, corner divisor: 1.9829048516469048, corner exponent: 2.3441594014389437, min opp score: 320.50684611354427, id: 62141, score: 6
gen alive: 17, params: danger divisor: 5.184922336002935, corner divisor: 4.465786036298703, corner exponent: 2.4401458802567406, min opp score: 316.8554663165308, id: 62207, score: 6
gen alive: 16, params: danger divisor: 12.551115834127327, min opp score: 120.72158126605794, corner divisor: 3.1453760796352537, corner exponent: 2.883588699711776, id: 63263, score: 6
gen alive: 15, params: corner divisor: 1.4987651649139213, corner exponent: 1.8312733047166156, min opp score: 359.29892268616777, danger divisor: 14.852681203332526, id: 62155, score: 6
gen alive: 14, params: danger divisor: 3.4130132497369856, min opp score: 213.73779744841642, corner divisor: 2.2654087676256687, corner exponent: 2.8221839712707095, id: 62738, score: 6
gen alive: 14, params: danger divisor: 2.690371722650835, min opp score: 206.68646716513717, corner divisor: 2.2111998301497744, corner exponent: 2.7983198296815703, id: 61801, score: 6
gen alive: 14, params: danger divisor: 4.432226922435602, min opp score: 346.4126685008731, corner divisor: 1.4250631408404224, corner exponent: 1.8923793178759525, id: 62694, score: 6
gen alive: 14, params: danger divisor: 8.944483122685195, min opp score: 120.72158126605794, corner divisor: 2.077508953009672, corner exponent: 2.883588699711776, id: 65185, score: 6
gen alive: 14, params: danger divisor: 2.0452638675957546, min opp score: 270.6325821783138, corner divisor: 2.638316470814125, corner exponent: 2.7983198296815703, id: 62663, score: 6
gen alive: 13, params: danger divisor: 3.398111663548365, min opp score: 428.43930646239744, corner divisor: 4.256293339554383, corner exponent: 1.5667532729206057, id: 64045, score: 6
gen alive: 13, params: danger divisor: 2.7918312981718194, corner divisor: 1.9829048516469048, corner exponent: 2.3441594014389437, min opp score: 430.74219453760657, id: 65687, score: 6
gen alive: 13, params: corner divisor: 1.4987651649139213, corner exponent: 1.8312733047166156, min opp score: 206.68646716513717, danger divisor: 2.690371722650835, id: 66280, score: 6
gen alive: 12, params: danger divisor: 1.7721408789033868, min opp score: 340.91012519557955, corner divisor: 1.3378646119575635, corner exponent: 1.12902073209985, id: 61479, score: 6
gen alive: 12, params: danger divisor: 5.184922336002935, min opp score: 270.6325821783138, corner divisor: 2.0971930306885422, corner exponent: 1.8308907467277356, id: 65231, score: 6
gen alive: 12, params: danger divisor: 14.852681203332526, min opp score: 120.72158126605794, corner divisor: 2.077508953009672, corner exponent: 2.883588699711776, id: 66255, score: 6
gen alive: 12, params: danger divisor: 2.690371722650835, min opp score: 206.68646716513717, corner divisor: 2.6286749640684217, corner exponent: 1.2302634429142136, id: 66297, score: 6
gen alive: 11, params: danger divisor: 6.944663277632651, min opp score: 276.9328679922823, corner divisor: 2.638316470814125, corner exponent: 2.48011808137359, id: 62561, score: 6
gen alive: 11, params: danger divisor: 5.099494234679468, min opp score: 292.3977329101959, corner divisor: 6.402195985710644, corner exponent: 2.4401458802567406, id: 62571, score: 6
gen alive: 11, params: corner divisor: 2.566939015775496, corner exponent: 1.0283359492003035, min opp score: 308.9344273293316, danger divisor: 14.392674562502789, id: 63226, score: 6
gen alive: 11, params: danger divisor: 2.0452638675957546, corner divisor: 2.638316470814125, corner exponent: 2.7983198296815703, min opp score: 270.6325821783138, id: 65201, score: 6
gen alive: 11, params: danger divisor: 6.364780459932849, min opp score: 120.72158126605794, corner divisor: 2.2654087676256687, corner exponent: 2.8221839712707095, id: 65814, score: 6
gen alive: 11, params: corner divisor: 4.465786036298703, corner exponent: 2.8632772617059343, min opp score: 227.007288415132, danger divisor: 14.852681203332526, id: 66249, score: 6
gen alive: 11, params: danger divisor: 2.690371722650835, min opp score: 428.43930646239744, corner divisor: 2.0971930306885422, corner exponent: 1.8308907467277356, id: 66268, score: 6
gen alive: 11, params: danger divisor: 4.86896435808997, min opp score: 875.121896536406, corner divisor: 3.1453760796352537, corner exponent: 1.890120623302458, id: 66276, score: 6
gen alive: 11, params: danger divisor: 3.4130132497369856, min opp score: 211.0516586939043, corner divisor: 2.2148060503086113, corner exponent: 1.8654738663353478, id: 66286, score: 6
gen alive: 10, params: danger divisor: 13.36140077965115, min opp score: 128.98831810019226, corner divisor: 2.2111998301497744, corner exponent: 2.7983198296815703, id: 64663, score: 6
gen alive: 10, params: danger divisor: 4.987744396182736, min opp score: 316.8554663165308, corner divisor: 2.2654087676256687, corner exponent: 2.8221839712707095, id: 65784, score: 6
gen alive: 10, params: danger divisor: 6.259092999406531, min opp score: 398.6186573067664, corner divisor: 3.1453760796352537, corner exponent: 2.7716609759360358, id: 65194, score: 6
gen alive: 10, params: corner divisor: 2.566939015775496, corner exponent: 2.689329259705896, min opp score: 308.9344273293316, danger divisor: 6.496605571207762, id: 63675, score: 6
gen alive: 10, params: danger divisor: 7.511973584332567, min opp score: 120.21159925198126, corner divisor: 6.822186406432596, corner exponent: 2.3836709973454173, id: 66194, score: 6
gen alive: 10, params: danger divisor: 1.8535218465047614, min opp score: 359.29892268616777, corner divisor: 5.311353079304133, corner exponent: 2.498837934281374, id: 66262, score: 6
gen alive: 9, params: danger divisor: 4.987744396182736, min opp score: 394.5919117527251, corner divisor: 2.0971930306885422, corner exponent: 1.8308907467277356, id: 64147, score: 6
gen alive: 9, params: danger divisor: 5.099494234679468, min opp score: 348.778673378085, corner divisor: 8.65056054561426, corner exponent: 1.0069264546855778, id: 64385, score: 6
gen alive: 9, params: corner divisor: 1.4987651649139213, corner exponent: 2.2665088090657495, min opp score: 207.14459078236402, danger divisor: 8.311774935155587, id: 64451, score: 6
gen alive: 9, params: danger divisor: 4.987744396182736, min opp score: 364.67685258798, corner divisor: 2.0971930306885422, corner exponent: 1.8308907467277356, id: 65780, score: 6
gen alive: 9, params: corner divisor: 6.402195985710644, corner exponent: 2.4401458802567406, min opp score: 207.14459078236402, danger divisor: 2.142461007695368, id: 65788, score: 6
gen alive: 9, params: danger divisor: 16.08054201310663, corner divisor: 4.465786036298703, corner exponent: 2.9654411488927277, min opp score: 316.8554663165308, id: 65931, score: 6
gen alive: 9, params: corner divisor: 2.4307579099567613, corner exponent: 2.7983198296815703, danger divisor: 7.377146476844247, min opp score: 428.43930646239744, id: 66200, score: 6
gen alive: 9, params: danger divisor: 5.099494234679468, min opp score: 394.5919117527251, corner divisor: 2.0971930306885422, corner exponent: 1.8308907467277356, id: 66210, score: 6
gen alive: 9, params: danger divisor: 14.013981007648566, min opp score: 120.72158126605794, corner divisor: 5.161894852645707, corner exponent: 1.6006634642299626, id: 66213, score: 6
gen alive: 9, params: danger divisor: 6.882923922383946, min opp score: 717.3970583392938, corner divisor: 1.2658754418042335, corner exponent: 1.6235227401608632, id: 66275, score: 6
gen alive: 9, params: danger divisor: 4.537859020892807, min opp score: 318.27127743183485, corner divisor: 1.4987651649139213, corner exponent: 2.5498235302258094, id: 66319, score: 6
gen alive: 9, params: danger divisor: 13.116095385764414, min opp score: 270.6325821783138, corner divisor: 2.077508953009672, corner exponent: 2.0977895008111416, id: 66325, score: 6
gen alive: 9, params: min opp score: 231.86894754764094, danger divisor: 3.398111663548365, corner divisor: 2.49121590447554, corner exponent: 1.1638276870367128, id: 66328, score: 6
gen alive: 8, params: danger divisor: 2.690371722650835, min opp score: 206.68646716513717, corner divisor: 2.2111998301497744, corner exponent: 2.460252641775255, id: 65047, score: 6
gen alive: 8, params: danger divisor: 14.527104119243862, corner divisor: 7.893027857416357, corner exponent: 2.1554853336280866, min opp score: 557.4401511633423, id: 65435, score: 6
gen alive: 8, params: danger divisor: 4.432226922435602, min opp score: 191.34234147023906, corner divisor: 1.4250631408404224, corner exponent: 1.8923793178759525, id: 65571, score: 6
gen alive: 8, params: min opp score: 231.86894754764094, danger divisor: 15.927084164842586, corner divisor: 2.6286749640684217, corner exponent: 1.2302634429142136, id: 65671, score: 6
gen alive: 8, params: danger divisor: 7.900779671738023, min opp score: 275.8137382782526, corner divisor: 2.6286749640684217, corner exponent: 1.2302634429142136, id: 65711, score: 6
gen alive: 8, params: danger divisor: 5.184922336002935, min opp score: 672.281449733456, corner divisor: 3.7976682621967264, corner exponent: 2.666939198145177, id: 65726, score: 6
gen alive: 8, params: corner divisor: 11.923774198784457, corner exponent: 2.689329259705896, min opp score: 206.68646716513717, danger divisor: 7.9569096159445305, id: 65793, score: 6
gen alive: 8, params: danger divisor: 4.987744396182736, min opp score: 364.67685258798, corner divisor: 1.4250631408404224, corner exponent: 1.8308907467277356, id: 65192, score: 6
gen alive: 8, params: danger divisor: 7.900779671738023, corner divisor: 6.822186406432596, corner exponent: 2.232337054711253, min opp score: 553.5835801976359, id: 66192, score: 6
gen alive: 8, params: danger divisor: 1.8535218465047614, min opp score: 120.21159925198126, corner divisor: 3.1453760796352537, corner exponent: 2.498837934281374, id: 66201, score: 6
gen alive: 8, params: danger divisor: 2.690371722650835, min opp score: 348.778673378085, corner divisor: 2.566939015775496, corner exponent: 2.689329259705896, id: 66211, score: 6
gen alive: 8, params: min opp score: 231.86894754764094, danger divisor: 15.927084164842586, corner divisor: 15.92088643538482, corner exponent: 1.2302634429142136, id: 66226, score: 6
gen alive: 8, params: danger divisor: 8.944483122685195, min opp score: 263.0750076964197, corner divisor: 2.0971930306885422, corner exponent: 1.8022180011020041, id: 66258, score: 6
gen alive: 8, params: danger divisor: 8.222760593538784, min opp score: 308.9344273293316, corner divisor: 2.0971930306885422, corner exponent: 1.8308907467277356, id: 66263, score: 6
gen alive: 8, params: danger divisor: 2.142461007695368, min opp score: 223.97018029785517, corner divisor: 6.822186406432596, corner exponent: 2.232337054711253, id: 66307, score: 6
gen alive: 8, params: danger divisor: 3.4130132497369856, min opp score: 183.43026209766117, corner divisor: 2.0971930306885422, corner exponent: 1.8022180011020041, id: 66323, score: 6
