gen alive: 16, params: corner divisor: 2.0313063415590116, corner exponent: 1.5800388276217425, min opp score: 158.32216508897278, danger divisor: 2.4535345198449545, id: 17837, score: 6
gen alive: 15, params: min opp score: 962.1122624663489, danger divisor: 4.543891960598984, corner divisor: 1.5294256555882746, corner exponent: 2.968296766886331, id: 18790, score: 6
gen alive: 14, params: danger divisor: 12.59296037241694, min opp score: 169.77397069612465, corner divisor: 10.673964839756835, corner exponent: 2.3818507989640825, id: 19323, score: 6
gen alive: 13, params: danger divisor: 12.947716311573412, min opp score: 204.71302169209258, corner divisor: 5.347769858901828, corner exponent: 2.896872764464025, id: 18019, score: 6
gen alive: 13, params: danger divisor: 2.1299558397157132, min opp score: 163.57047446901868, corner divisor: 1.5294256555882746, corner exponent: 2.7877814377366517, id: 17101, score: 6
gen alive: 12, params: danger divisor: 3.412931276276189, min opp score: 856.9796442764366, corner divisor: 1.5294256555882746, corner exponent: 1.0891255558044737, id: 18352, score: 6
gen alive: 12, params: danger divisor: 3.156614181957038, min opp score: 950.0207074384539, corner divisor: 1.5004146956907953, corner exponent: 2.325895898113112, id: 18861, score: 6
gen alive: 12, params: corner divisor: 2.8925138762585023, corner exponent: 2.2305230801656104, min opp score: 171.18846321279486, danger divisor: 7.1219441592919, id: 19834, score: 6
gen alive: 12, params: danger divisor: 2.4535345198449545, min opp score: 158.32216508897278, corner divisor: 1.3142757210525486, corner exponent: 1.9507340005531413, id: 20402, score: 6
gen alive: 11, params: corner divisor: 4.478211133910642, corner exponent: 2.2618233987069827, min opp score: 171.18846321279486, danger divisor: 7.1219441592919, id: 17681, score: 6
gen alive: 11, params: corner divisor: 2.795794761406772, corner exponent: 1.9854459219960638, min opp score: 253.63461014011312, danger divisor: 3.729811435367999, id: 19853, score: 6
gen alive: 11, params: min opp score: 714.469773906589, danger divisor: 3.156614181957038, corner divisor: 2.8925138762585023, corner exponent: 1.3897165745246636, id: 20335, score: 6
gen alive: 10, params: danger divisor: 3.412931276276189, min opp score: 723.7374875081714, corner divisor: 2.639692344596096, corner exponent: 2.943954746761152, id: 18683, score: 6
gen alive: 10, params: danger divisor: 8.899000383396276, min opp score: 476.9048903026858, corner divisor: 2.1063267955299994, corner exponent: 1.565083974888364, id: 19278, score: 6
gen alive: 10, params: danger divisor: 1.8568491193641359, min opp score: 714.469773906589, corner divisor: 8.960223104689167, corner exponent: 1.631493605121814, id: 19797, score: 6
gen alive: 10, params: danger divisor: 12.947716311573412, min opp score: 134.42289400951032, corner divisor: 10.072903440354922, corner exponent: 2.896872764464025, id: 19825, score: 6
gen alive: 10, params: min opp score: 499.87100881723745, danger divisor: 4.543891960598984, corner divisor: 1.5294256555882746, corner exponent: 2.968296766886331, id: 19842, score: 6
gen alive: 10, params: danger divisor: 3.1303395305252204, min opp score: 300.5918966826683, corner divisor: 1.4089005421982965, corner exponent: 1.631493605121814, id: 19888, score: 6
gen alive: 10, params: danger divisor: 5.025690110555503, min opp score: 324.18685268519323, corner divisor: 9.358165384137527, corner exponent: 2.7877814377366517, id: 16856, score: 6
gen alive: 10, params: danger divisor: 16.52111177157018, min opp score: 450.0223763738837, corner divisor: 9.375080252323974, corner exponent: 2.1655941364355122, chip divisor: 12.321525119532597, id: 17457, score: 6
gen alive: 10, params: corner divisor: 2.7141354827311677, corner exponent: 1.9854459219960638, min opp score: 158.32216508897278, danger divisor: 2.4535345198449545, id: 20338, score: 6
gen alive: 10, params: danger divisor: 6.052859943447, min opp score: 356.40248592698384, corner divisor: 1.5294256555882746, corner exponent: 1.0891255558044737, id: 20349, score: 6
gen alive: 10, params: danger divisor: 5.658616143604591, min opp score: 520.9396919856179, corner divisor: 2.9389149665458816, corner exponent: 2.0112176877969863, id: 20401, score: 6
gen alive: 10, params: corner divisor: 2.8925138762585023, corner exponent: 2.2305230801656104, min opp score: 171.18846321279486, danger divisor: 3.1303395305252204, id: 20429, score: 6
gen alive: 9, params: danger divisor: 8.380414267530385, min opp score: 296.9777974556441, corner divisor: 4.126669114962381, corner exponent: 2.020790475154495, id: 17521, score: 6
gen alive: 9, params: danger divisor: 3.615125305719162, min opp score: 435.4444326112003, corner divisor: 2.639692344596096, corner exponent: 2.943954746761152, id: 19384, score: 6
gen alive: 9, params: danger divisor: 3.343644887181707, min opp score: 253.63461014011312, corner divisor: 5.347769858901828, corner exponent: 2.2305230801656104, id: 19818, score: 6
gen alive: 9, params: danger divisor: 3.615125305719162, min opp score: 866.93223986371, corner divisor: 2.639692344596096, corner exponent: 2.943954746761152, id: 19820, score: 6
gen alive: 9, params: danger divisor: 3.1303395305252204, min opp score: 355.0831788026759, corner divisor: 2.2111998301497744, corner exponent: 2.903913427099865, id: 19914, score: 6
gen alive: 9, params: danger divisor: 2.601017971189121, min opp score: 113.81053620997896, corner divisor: 1.6996501714805488, corner exponent: 2.636167733155639, id: 20282, score: 6
gen alive: 9, params: min opp score: 113.81053620997896, danger divisor: 1.6126914132934451, corner divisor: 1.3142757210525486, corner exponent: 1.1960108566049343, id: 20326, score: 6
gen alive: 9, params: danger divisor: 3.1303395305252204, min opp score: 171.18846321279486, corner divisor: 1.3142757210525486, corner exponent: 1.9507340005531413, id: 20334, score: 6
gen alive: 9, params: danger divisor: 3.412931276276189, min opp score: 134.42289400951032, corner divisor: 10.072903440354922, corner exponent: 2.896872764464025, id: 20336, score: 6
gen alive: 9, params: danger divisor: 7.241405696375075, min opp score: 171.18846321279486, corner divisor: 2.8925138762585023, corner exponent: 2.2305230801656104, id: 20346, score: 6
gen alive: 9, params: danger divisor: 3.1303395305252204, min opp score: 491.73113521635935, corner divisor: 2.795794761406772, corner exponent: 2.2618233987069827, id: 20351, score: 6
gen alive: 9, params: min opp score: 204.71302169209258, danger divisor: 3.729811435367999, corner divisor: 5.347769858901828, corner exponent: 1.9854459219960638, id: 20405, score: 6
gen alive: 8, params: danger divisor: 4.441774108060206, min opp score: 319.11190988930457, corner divisor: 2.8925138762585023, corner exponent: 2.2305230801656104, id: 18065, score: 6
gen alive: 8, params: danger divisor: 1.9984411775175386, min opp score: 508.37970821873876, corner divisor: 4.872695340128992, corner exponent: 2.810836417064915, id: 18695, score: 6
gen alive: 8, params: min opp score: 520.9396919856179, danger divisor: 6.115091374124482, corner divisor: 2.7141354827311677, corner exponent: 1.9854459219960638, id: 16581, score: 6
gen alive: 8, params: danger divisor: 3.412931276276189, min opp score: 441.0418612564326, corner divisor: 2.639692344596096, corner exponent: 2.943954746761152, id: 19408, score: 6
gen alive: 8, params: corner divisor: 2.639692344596096, corner exponent: 1.727660227749972, min opp score: 403.5638446121664, danger divisor: 5.5584313706230795, id: 19675, score: 6
gen alive: 8, params: min opp score: 209.50045619491758, danger divisor: 19.43993361908394, corner divisor: 4.11275143127756, corner exponent: 1.7858552012401339, id: 19801, score: 6
gen alive: 8, params: corner divisor: 8.215663597041438, corner exponent: 2.3602699671273504, danger divisor: 2.601017971189121, min opp score: 705.3460641287191, id: 19847, score: 6
gen alive: 8, params: min opp score: 149.18714913567064, danger divisor: 3.343644887181707, corner divisor: 2.8925138762585023, corner exponent: 2.7877814377366517, id: 19876, score: 6
gen alive: 8, params: min opp score: 319.11190988930457, danger divisor: 6.115091374124482, corner divisor: 2.7141354827311677, corner exponent: 1.9854459219960638, id: 19869, score: 6
gen alive: 8, params: min opp score: 253.63461014011312, danger divisor: 9.00505323451695, corner divisor: 2.7141354827311677, corner exponent: 1.9854459219960638, id: 17117, score: 6
gen alive: 8, params: danger divisor: 5.658616143604591, min opp score: 476.9048903026858, corner divisor: 2.1063267955299994, corner exponent: 1.565083974888364, id: 20280, score: 6
gen alive: 8, params: corner divisor: 2.0313063415590116, corner exponent: 1.3897165745246636, danger divisor: 7.591078134097838, min opp score: 211.8440290117431, id: 20371, score: 6
gen alive: 8, params: corner divisor: 2.0313063415590116, corner exponent: 1.3897165745246636, min opp score: 171.18846321279486, danger divisor: 12.528208657340826, id: 20403, score: 6
gen alive: 8, params: danger divisor: 5.350917403975083, min opp score: 171.18846321279486, corner divisor: 4.478211133910642, corner exponent: 2.943954746761152, id: 20408, score: 6
gen alive: 7, params: min opp score: 520.9396919856179, danger divisor: 3.729811435367999, corner divisor: 2.7141354827311677, corner exponent: 1.9854459219960638, id: 17727, score: 6
gen alive: 7, params: danger divisor: 5.350917403975083, min opp score: 435.4444326112003, corner divisor: 2.639692344596096, corner exponent: 2.943954746761152, id: 18501, score: 6
gen alive: 7, params: min opp score: 216.015308346723, danger divisor: 19.43993361908394, corner divisor: 4.11275143127756, corner exponent: 1.7858552012401339, id: 18507, score: 6
gen alive: 7, params: danger divisor: 11.118112946992461, min opp score: 977.4100922742809, corner divisor: 1.3142757210525486, corner exponent: 1.1960108566049343, id: 18649, score: 6
gen alive: 7, params: danger divisor: 1.431616470586082, min opp score: 319.11190988930457, corner divisor: 2.8925138762585023, corner exponent: 2.2305230801656104, id: 18777, score: 6
gen alive: 7, params: danger divisor: 3.156614181957038, min opp score: 440.1230538530849, corner divisor: 1.5004146956907953, corner exponent: 2.325895898113112, id: 19239, score: 6
gen alive: 7, params: danger divisor: 12.10772425601333, min opp score: 209.50045619491758, corner divisor: 4.126669114962381, corner exponent: 2.020790475154495, id: 19796, score: 6
gen alive: 7, params: danger divisor: 7.295782508177933, min opp score: 273.2667961352247, corner divisor: 1.3142757210525486, corner exponent: 1.9507340005531413, id: 20295, score: 6
gen alive: 7, params: min opp score: 319.11190988930457, danger divisor: 3.156614181957038, corner divisor: 2.8925138762585023, corner exponent: 2.169244288674153, id: 20306, score: 6
gen alive: 7, params: danger divisor: 6.115091374124482, min opp score: 866.93223986371, corner divisor: 2.8925138762585023, corner exponent: 2.306945987787704, id: 20330, score: 6
gen alive: 7, params: corner divisor: 2.639692344596096, corner exponent: 2.143854379207264, min opp score: 403.5638446121664, danger divisor: 7.836395457816545, id: 20341, score: 6
gen alive: 7, params: danger divisor: 3.156614181957038, min opp score: 867.3848101441653, corner divisor: 1.3142757210525486, corner exponent: 1.1960108566049343, id: 20343, score: 6
gen alive: 7, params: corner divisor: 7.4135301345379885, corner exponent: 1.0531218169731682, min opp score: 953.394845144938, danger divisor: 3.1303395305252204, id: 20367, score: 6
gen alive: 7, params: corner divisor: 2.639692344596096, corner exponent: 1.631493605121814, min opp score: 856.4437675277047, chip divisor: 17.730114530418412, danger divisor: 7.871050710060413, id: 20389, score: 6
