gen alive: 5, params: min opp score: 532.6089108879305, corner divisor: 2.2039818268595948, corner exponent: 2.1331675317121617, danger divisor: 1.229258509662097, chip divisor: 13.996913687742603, id: 28853, score: 60
gen alive: 17, params: corner divisor: 1.924872582001383, corner exponent: 1.700514620446684, danger divisor: 1.5333675855034437, min opp score: 765.4046365051223, id: 29500, score: 57
gen alive: 13, params: corner divisor: 1.4141726915481594, corner exponent: 2.2736765941280996, min opp score: 132.8136760948767, danger divisor: 3.3353111902079218, id: 28745, score: 57
gen alive: 23, params: corner divisor: 1.0290058383826213, corner exponent: 1.7520585311117283, min opp score: 170.58405237342106, danger divisor: 2.272649183166843, id: 25407, score: 54
gen alive: 19, params: corner divisor: 1.4141726915481594, corner exponent: 2.2736765941280996, min opp score: 201.6735042815908, danger divisor: 2.272649183166843, id: 30098, score: 54
gen alive: 17, params: corner divisor: 1.4141726915481594, corner exponent: 2.8664371522540826, min opp score: 690.6500837560397, danger divisor: 1.7502101156723189, id: 27413, score: 54
gen alive: 17, params: corner divisor: 1.924872582001383, corner exponent: 2.998997981500411, danger divisor: 3.375085378510618, min opp score: 195.01361189096625, id: 27359, score: 54
gen alive: 16, params: corner divisor: 1.8908946854051345, corner exponent: 2.5580553710702327, min opp score: 494.73200322301767, danger divisor: 1.219823213563864, id: 29460, score: 54
gen alive: 14, params: corner divisor: 1.8908946854051345, corner exponent: 2.5580553710702327, min opp score: 185.33565225575438, danger divisor: 1.5390558275077049, id: 29937, score: 54
gen alive: 10, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, danger divisor: 2.7610173220029974, min opp score: 269.78539155913063, id: 28407, score: 54
gen alive: 8, params: corner divisor: 1.8908946854051345, corner exponent: 2.2556529215573, danger divisor: 9.228475435978167, min opp score: 163.7480399503214, id: 29771, score: 54
gen alive: 15, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, min opp score: 140.64327332353807, danger divisor: 14.96839285386515, id: 30600, score: 52
gen alive: 30, params: corner divisor: 1.4141726915481594, corner exponent: 2.2736765941280996, danger divisor: 1.5333675855034437, min opp score: 316.36886835003236, id: 29480, score: 51
gen alive: 29, params: corner divisor: 1.9130252648200337, corner exponent: 2.887936018192521, danger divisor: 2.305755204698305, min opp score: 620.6928025373121, id: 22833, score: 51
