gen alive: 18, params: corner divisor: 2.862241644415418, corner exponent: 2.8664371522540826, min opp score: 333.68306023634824, danger divisor: 1.286596863030676, id: 34698, score: 57
gen alive: 3, params: corner divisor: 1.924872582001383, corner exponent: 2.998997981500411, min opp score: 342.05319493068623, danger divisor: 2.3743917128506857, id: 33670, score: 57
gen alive: 24, params: corner divisor: 2.0301067311757217, corner exponent: 2.7305056666446275, danger divisor: 2.305755204698305, min opp score: 113.04675385150676, id: 33082, score: 54
gen alive: 24, params: corner divisor: 1.4141726915481594, corner exponent: 2.2736765941280996, danger divisor: 1.286596863030676, min opp score: 113.04675385150676, id: 32061, score: 54
gen alive: 14, params: corner divisor: 6.419771640313256, corner exponent: 2.6939913295121265, min opp score: 140.64327332353807, danger divisor: 17.144606100694446, id: 34451, score: 54
gen alive: 13, params: corner divisor: 1.4141726915481594, corner exponent: 2.8518345300175136, min opp score: 196.2611985828596, danger divisor: 2.305755204698305, id: 35122, score: 54
gen alive: 12, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, min opp score: 262.7671190271276, danger divisor: 2.305755204698305, id: 34989, score: 54
gen alive: 1, params: min opp score: 225.16350858174155, danger divisor: 10.335430709947717, corner divisor: 1.0306314959987315, corner exponent: 2.65964097961648, id: 34911, score: 54
gen alive: 27, params: corner divisor: 1.924872582001383, corner exponent: 2.998997981500411, danger divisor: 1.286596863030676, min opp score: 422.7236679380361, id: 29030, score: 51
gen alive: 23, params: corner divisor: 2.862241644415418, corner exponent: 2.8664371522540826, min opp score: 210.97974675215204, danger divisor: 2.914264166191812, id: 33553, score: 51
gen alive: 19, params: corner divisor: 1.4141726915481594, corner exponent: 2.592441284884862, min opp score: 122.4941592700856, danger divisor: 6.466545403052114, id: 33544, score: 51
gen alive: 19, params: corner divisor: 1.4141726915481594, corner exponent: 2.592441284884862, min opp score: 122.4941592700856, danger divisor: 1.286596863030676, id: 34575, score: 51
gen alive: 16, params: corner divisor: 1.4141726915481594, corner exponent: 2.2736765941280996, danger divisor: 2.305755204698305, min opp score: 695.0706344724128, id: 33403, score: 51
gen alive: 15, params: min opp score: 113.04675385150676, danger divisor: 1.286596863030676, corner divisor: 2.438497591931453, corner exponent: 2.7305056666446275, id: 35607, score: 51
gen alive: 11, params: corner divisor: 1.8908946854051345, corner exponent: 2.3348231010915717, danger divisor: 1.2795981536117687, min opp score: 212.75495741371265, id: 33566, score: 51
gen alive: 10, params: min opp score: 181.7485407405625, danger divisor: 1.286596863030676, corner divisor: 2.862241644415418, corner exponent: 1.7007481374325488, id: 33243, score: 51
gen alive: 10, params: corner divisor: 2.862241644415418, corner exponent: 2.8664371522540826, min opp score: 808.6402356021048, danger divisor: 1.286596863030676, id: 34997, score: 51
gen alive: 2, params: corner divisor: 1.9610570744336302, corner exponent: 1.3668302467169875, danger divisor: 9.154363815628427, min opp score: 147.27842759328072, id: 34431, score: 51
gen alive: 24, params: corner divisor: 1.4141726915481594, corner exponent: 2.2736765941280996, danger divisor: 2.305755204698305, min opp score: 316.239352851628, id: 32612, score: 49
gen alive: 24, params: corner divisor: 2.438497591931453, corner exponent: 2.971271345743081, min opp score: 140.64327332353807, danger divisor: 1.286596863030676, id: 34101, score: 49
gen alive: 28, params: corner divisor: 1.4141726915481594, corner exponent: 1.7520585311117283, danger divisor: 1.286596863030676, min opp score: 316.239352851628, id: 34615, score: 48
gen alive: 27, params: corner divisor: 1.4141726915481594, corner exponent: 2.2736765941280996, danger divisor: 1.286596863030676, min opp score: 316.239352851628, id: 30520, score: 48
gen alive: 25, params: corner divisor: 1.8908946854051345, corner exponent: 2.3348231010915717, danger divisor: 2.305755204698305, min opp score: 195.01361189096625, id: 33096, score: 48
gen alive: 24, params: corner divisor: 1.4141726915481594, corner exponent: 2.8664371522540826, min opp score: 202.5749573151316, danger divisor: 1.7502101156723189, id: 34597, score: 48
gen alive: 24, params: corner divisor: 1.924872582001383, corner exponent: 2.998997981500411, danger divisor: 2.550749837089523, min opp score: 181.24629162465823, id: 33576, score: 48
gen alive: 23, params: corner divisor: 2.862241644415418, corner exponent: 2.4199075958525986, min opp score: 139.1762947009676, danger divisor: 2.7610173220029974, id: 33660, score: 48
gen alive: 22, params: corner divisor: 1.8908946854051345, corner exponent: 2.5580553710702327, min opp score: 139.1762947009676, danger divisor: 3.2260691062100193, id: 33633, score: 48
gen alive: 20, params: corner divisor: 1.8908946854051345, corner exponent: 2.4558780495786436, danger divisor: 1.286596863030676, min opp score: 195.01361189096625, id: 34582, score: 48
gen alive: 20, params: corner divisor: 2.438497591931453, corner exponent: 2.971271345743081, min opp score: 201.6735042815908, danger divisor: 2.305755204698305, id: 35597, score: 48
gen alive: 17, params: danger divisor: 2.305755204698305, min opp score: 202.5749573151316, corner divisor: 2.862241644415418, corner exponent: 2.5580553710702327, id: 33068, score: 48
gen alive: 17, params: min opp score: 126.32130206031114, corner divisor: 2.862241644415418, corner exponent: 2.8371899607449214, danger divisor: 1.286596863030676, id: 35612, score: 48
gen alive: 16, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, min opp score: 144.36856232262755, danger divisor: 3.915028182108931, id: 35117, score: 48
gen alive: 14, params: corner divisor: 2.862241644415418, corner exponent: 2.65964097961648, min opp score: 122.4941592700856, danger divisor: 2.914264166191812, id: 35093, score: 48
gen alive: 13, params: corner divisor: 1.38057181318413, corner exponent: 2.65964097961648, min opp score: 122.4941592700856, danger divisor: 1.8353198778631254, id: 33548, score: 48
gen alive: 13, params: corner divisor: 1.8908946854051345, corner exponent: 2.3348231010915717, danger divisor: 2.305755204698305, min opp score: 791.4041130968949, id: 34811, score: 48
gen alive: 11, params: corner divisor: 1.38057181318413, corner exponent: 1.761426196647152, min opp score: 109.89917936575195, danger divisor: 12.258405205757258, id: 32845, score: 48
gen alive: 10, params: corner divisor: 8.181242623873874, corner exponent: 2.998997981500411, danger divisor: 1.5390558275077049, min opp score: 526.5416766618426, id: 34983, score: 48
gen alive: 6, params: corner divisor: 1.9610570744336302, corner exponent: 1.3668302467169875, danger divisor: 1.907414930420253, min opp score: 272.0247272189096, id: 34572, score: 48
gen alive: 23, params: corner divisor: 1.924872582001383, corner exponent: 2.6666326185896345, danger divisor: 2.7610173220029974, min opp score: 269.78539155913063, id: 34085, score: 46
gen alive: 21, params: danger divisor: 2.914264166191812, min opp score: 139.1762947009676, corner divisor: 2.862241644415418, corner exponent: 2.5580553710702327, id: 35592, score: 46
gen alive: 12, params: danger divisor: 2.914264166191812, min opp score: 202.5749573151316, corner divisor: 1.5867073576676085, corner exponent: 2.5580553710702327, id: 32859, score: 46
gen alive: 10, params: corner divisor: 1.144725234536563, corner exponent: 2.998997981500411, min opp score: 820.0880506623764, danger divisor: 1.286596863030676, id: 34891, score: 46
gen alive: 25, params: corner divisor: 1.5674031545418696, corner exponent: 2.8518345300175136, min opp score: 140.64327332353807, danger divisor: 2.305755204698305, id: 35601, score: 45
gen alive: 24, params: min opp score: 139.1762947009676, danger divisor: 1.286596863030676, corner divisor: 2.862241644415418, corner exponent: 2.998997981500411, id: 33556, score: 45
gen alive: 24, params: corner divisor: 1.924872582001383, corner exponent: 2.998997981500411, danger divisor: 1.0824483397993152, min opp score: 139.1762947009676, id: 31097, score: 45
gen alive: 23, params: corner divisor: 1.924872582001383, corner exponent: 2.998997981500411, danger divisor: 2.305755204698305, min opp score: 181.24629162465823, id: 30511, score: 45
gen alive: 21, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, min opp score: 139.1762947009676, danger divisor: 1.5390558275077049, id: 31627, score: 45
gen alive: 19, params: danger divisor: 2.914264166191812, min opp score: 202.5749573151316, corner divisor: 2.862241644415418, corner exponent: 2.5580553710702327, id: 32572, score: 45
gen alive: 19, params: corner divisor: 1.8908946854051345, corner exponent: 2.3348231010915717, danger divisor: 2.7610173220029974, min opp score: 212.75495741371265, id: 34603, score: 45
gen alive: 19, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, min opp score: 201.6735042815908, danger divisor: 2.55846266216978, id: 34569, score: 45
gen alive: 18, params: corner divisor: 2.1637603665883565, corner exponent: 1.6384577651076253, min opp score: 140.64327332353807, danger divisor: 2.55846266216978, id: 34636, score: 45
gen alive: 18, params: corner divisor: 1.924872582001383, corner exponent: 2.998997981500411, danger divisor: 1.867775139352426, min opp score: 139.1762947009676, id: 34610, score: 45
gen alive: 16, params: min opp score: 126.32130206031114, corner divisor: 1.0306314959987315, corner exponent: 2.8371899607449214, danger divisor: 1.286596863030676, id: 34646, score: 45
gen alive: 16, params: danger divisor: 2.305755204698305, min opp score: 372.75217090664245, corner divisor: 2.862241644415418, corner exponent: 2.5580553710702327, id: 35652, score: 45
gen alive: 13, params: corner divisor: 1.924872582001383, corner exponent: 2.998997981500411, danger divisor: 19.659975641445627, min opp score: 139.1762947009676, id: 34929, score: 45
gen alive: 12, params: corner divisor: 1.4141726915481594, corner exponent: 2.2736765941280996, min opp score: 281.64736536081205, danger divisor: 2.55846266216978, id: 34463, score: 45
gen alive: 11, params: corner divisor: 1.5674031545418696, corner exponent: 2.6666326185896345, danger divisor: 2.7610173220029974, min opp score: 177.30821130212968, id: 35645, score: 45
gen alive: 10, params: corner divisor: 1.8908946854051345, corner exponent: 2.6666326185896345, danger divisor: 5.055701253778883, min opp score: 264.6591128011194, id: 33871, score: 45
gen alive: 5, params: corner divisor: 4.565808172265693, corner exponent: 2.998997981500411, danger divisor: 1.5390558275077049, min opp score: 526.5416766618426, id: 35463, score: 45
gen alive: 2, params: corner divisor: 1.924872582001383, corner exponent: 2.998997981500411, danger divisor: 1.5390558275077049, min opp score: 266.3631100123614, id: 32532, score: 45
gen alive: 2, params: corner divisor: 1.8908946854051345, corner exponent: 2.2759086394161656, danger divisor: 2.305755204698305, min opp score: 609.9384936000849, id: 34689, score: 45
gen alive: 8, params: danger divisor: 3.3571712747421043, min opp score: 548.7089468974793, corner divisor: 1.5867073576676085, corner exponent: 2.5580553710702327, id: 35086, score: 44
gen alive: 30, params: corner divisor: 1.4141726915481594, corner exponent: 1.7520585311117283, min opp score: 170.58405237342106, danger divisor: 1.7502101156723189, id: 31054, score: 43
gen alive: 25, params: corner divisor: 1.924872582001383, corner exponent: 2.998997981500411, danger divisor: 1.867775139352426, min opp score: 139.1762947009676, id: 35181, score: 43
gen alive: 18, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, danger divisor: 1.286596863030676, min opp score: 422.7236679380361, id: 34686, score: 43
gen alive: 16, params: min opp score: 599.0345168720596, danger divisor: 2.550749837089523, corner divisor: 2.862241644415418, corner exponent: 1.7007481374325488, id: 35639, score: 43
gen alive: 11, params: danger divisor: 7.379015044942179, min opp score: 202.5749573151316, corner divisor: 2.862241644415418, corner exponent: 2.5580553710702327, id: 33411, score: 43
gen alive: 30, params: corner divisor: 1.9130252648200337, corner exponent: 2.887936018192521, danger divisor: 2.305755204698305, min opp score: 201.6735042815908, id: 30485, score: 42
gen alive: 29, params: corner divisor: 1.8908946854051345, corner exponent: 2.440867028945015, danger divisor: 2.7610173220029974, min opp score: 284.6640336040204, id: 35137, score: 42
gen alive: 28, params: corner divisor: 2.438497591931453, corner exponent: 2.971271345743081, min opp score: 201.6735042815908, danger divisor: 7.895517251511161, id: 30613, score: 42
gen alive: 25, params: corner divisor: 1.4141726915481594, corner exponent: 2.4888656492239223, min opp score: 201.6735042815908, danger divisor: 14.96839285386515, id: 33059, score: 42
gen alive: 24, params: corner divisor: 1.924872582001383, corner exponent: 2.998997981500411, min opp score: 210.97974675215204, danger divisor: 1.286596863030676, id: 31563, score: 42
gen alive: 24, params: corner divisor: 1.0290058383826213, corner exponent: 1.7520585311117283, min opp score: 148.5830980749371, danger divisor: 2.272649183166843, id: 32560, score: 42
gen alive: 24, params: corner divisor: 1.924872582001383, corner exponent: 2.998997981500411, danger divisor: 1.286596863030676, min opp score: 170.58405237342106, id: 35613, score: 42
gen alive: 23, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, danger divisor: 2.7610173220029974, min opp score: 144.36856232262755, id: 34075, score: 42
gen alive: 23, params: min opp score: 139.1762947009676, danger divisor: 2.550749837089523, corner divisor: 1.924872582001383, corner exponent: 2.3348231010915717, id: 35723, score: 42
gen alive: 22, params: corner divisor: 1.4141726915481594, corner exponent: 1.7520585311117283, danger divisor: 1.286596863030676, min opp score: 316.239352851628, id: 35707, score: 42
gen alive: 21, params: corner divisor: 1.924872582001383, corner exponent: 2.5580553710702327, danger divisor: 2.550749837089523, min opp score: 202.5749573151316, id: 35599, score: 42
gen alive: 19, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, danger divisor: 1.286596863030676, min opp score: 422.7236679380361, id: 35585, score: 42
gen alive: 19, params: corner divisor: 1.4141726915481594, corner exponent: 2.2736765941280996, danger divisor: 7.379015044942179, min opp score: 202.5749573151316, id: 35624, score: 42
gen alive: 19, params: corner divisor: 1.5674031545418696, corner exponent: 2.6666326185896345, min opp score: 209.6381328125266, danger divisor: 1.286596863030676, id: 35720, score: 42
gen alive: 18, params: corner divisor: 2.862241644415418, corner exponent: 2.592441284884862, min opp score: 181.24629162465823, danger divisor: 6.466545403052114, id: 34683, score: 42
gen alive: 18, params: corner divisor: 1.4446526150119707, corner exponent: 1.4955933007394728, danger divisor: 2.7610173220029974, min opp score: 189.06154507642202, id: 32544, score: 42
gen alive: 18, params: corner divisor: 1.8908946854051345, corner exponent: 2.3348231010915717, danger divisor: 1.721555916548688, min opp score: 209.6381328125266, id: 35141, score: 42
gen alive: 18, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, min opp score: 181.24629162465823, danger divisor: 1.0824483397993152, id: 34052, score: 42
gen alive: 16, params: corner divisor: 2.862241644415418, corner exponent: 2.8664371522540826, danger divisor: 2.305755204698305, min opp score: 808.6402356021048, id: 35663, score: 42
gen alive: 15, params: corner divisor: 1.924872582001383, corner exponent: 2.998997981500411, danger divisor: 1.0824483397993152, min opp score: 273.07473081803323, id: 33015, score: 42
gen alive: 15, params: corner divisor: 1.5867073576676085, corner exponent: 2.998997981500411, danger divisor: 1.286596863030676, min opp score: 372.75217090664245, id: 35070, score: 42
gen alive: 13, params: corner divisor: 2.438497591931453, corner exponent: 2.65964097961648, min opp score: 122.4941592700856, danger divisor: 7.597901098502863, id: 35211, score: 42
gen alive: 12, params: corner divisor: 1.8908946854051345, corner exponent: 2.2598701791750018, danger divisor: 2.305755204698305, min opp score: 139.1762947009676, id: 35685, score: 42
gen alive: 10, params: danger divisor: 2.7610173220029974, min opp score: 548.7089468974793, corner divisor: 1.5867073576676085, corner exponent: 2.5580553710702327, id: 35644, score: 42
gen alive: 9, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, min opp score: 480.8789809369186, danger divisor: 7.597901098502863, id: 34421, score: 42
gen alive: 9, params: danger divisor: 1.9870869242210905, min opp score: 274.95160711939195, corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, id: 31091, score: 42
gen alive: 9, params: min opp score: 170.58405237342106, danger divisor: 11.844209077859144, corner divisor: 11.385563125226154, corner exponent: 2.4951963228436944, id: 35399, score: 42
gen alive: 8, params: corner divisor: 3.205958229241868, corner exponent: 2.2598701791750018, min opp score: 139.1762947009676, danger divisor: 3.2260691062100193, id: 35055, score: 42
gen alive: 6, params: danger divisor: 2.305755204698305, min opp score: 235.057747182567, corner divisor: 2.438497591931453, corner exponent: 2.8518345300175136, id: 32570, score: 42
