gen alive: 18, params: corner divisor: 1.4446526150119707, corner exponent: 1.9600207001808965, danger divisor: 1.867775139352426, min opp score: 784.7806318117356, id: 39159, score: 57
gen alive: 37, params: corner divisor: 1.4141726915481594, corner exponent: 2.2736765941280996, danger divisor: 1.286596863030676, min opp score: 316.239352851628, id: 30520, score: 54
gen alive: 34, params: corner divisor: 1.4141726915481594, corner exponent: 2.2736765941280996, danger divisor: 1.286596863030676, min opp score: 113.04675385150676, id: 32061, score: 54
gen alive: 29, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, min opp score: 139.1762947009676, danger divisor: 2.305755204698305, id: 39673, score: 54
gen alive: 27, params: min opp score: 872.3638929852237, danger divisor: 2.914264166191812, corner divisor: 1.8908946854051345, corner exponent: 2.4558780495786436, id: 38776, score: 54
gen alive: 14, params: corner divisor: 1.924872582001383, corner exponent: 2.998997981500411, min opp score: 880.4964828125283, danger divisor: 2.305755204698305, id: 39703, score: 54
gen alive: 11, params: corner divisor: 3.205958229241868, corner exponent: 2.2598701791750018, min opp score: 139.1762947009676, danger divisor: 9.084943679380014, id: 39083, score: 54
gen alive: 10, params: corner divisor: 1.4141726915481594, corner exponent: 2.2736765941280996, danger divisor: 2.7610173220029974, min opp score: 524.1422087046086, id: 38773, score: 54
gen alive: 22, params: danger divisor: 2.914264166191812, min opp score: 202.5749573151316, corner divisor: 1.5867073576676085, corner exponent: 2.5580553710702327, id: 32859, score: 52
gen alive: 35, params: corner divisor: 1.8908946854051345, corner exponent: 2.440867028945015, danger divisor: 1.286596863030676, min opp score: 333.68306023634824, id: 38672, score: 51
gen alive: 34, params: min opp score: 139.1762947009676, danger divisor: 1.286596863030676, corner divisor: 2.862241644415418, corner exponent: 2.998997981500411, id: 33556, score: 51
gen alive: 31, params: corner divisor: 1.924872582001383, corner exponent: 2.5580553710702327, danger divisor: 2.550749837089523, min opp score: 202.5749573151316, id: 35599, score: 51
gen alive: 28, params: corner divisor: 2.862241644415418, corner exponent: 2.8664371522540826, danger divisor: 1.286596863030676, min opp score: 195.01361189096625, id: 36164, score: 51
gen alive: 27, params: corner divisor: 3.8388720256400437, corner exponent: 2.998997981500411, min opp score: 201.6735042815908, danger divisor: 2.305755204698305, id: 37171, score: 51
gen alive: 24, params: corner divisor: 1.5674031545418696, corner exponent: 2.4558780495786436, danger divisor: 1.2335540217473757, min opp score: 148.5830980749371, id: 38155, score: 51
gen alive: 24, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, danger divisor: 7.379015044942179, min opp score: 144.36856232262755, id: 38139, score: 51
gen alive: 22, params: corner divisor: 1.924872582001383, corner exponent: 2.5580553710702327, danger divisor: 2.7610173220029974, min opp score: 273.07473081803323, id: 39253, score: 51
gen alive: 21, params: corner divisor: 1.8908946854051345, corner exponent: 2.440867028945015, danger divisor: 2.7610173220029974, min opp score: 548.7089468974793, id: 39163, score: 51
gen alive: 21, params: corner divisor: 3.8388720256400437, corner exponent: 2.3674174438922453, min opp score: 201.6735042815908, danger divisor: 7.597901098502863, id: 39186, score: 51
gen alive: 20, params: corner divisor: 2.862241644415418, corner exponent: 2.8664371522540826, danger divisor: 2.7610173220029974, min opp score: 181.7485407405625, id: 39227, score: 51
