gen alive: 18, params: danger divisor: 1.0824483397993152, min opp score: 179.77257315345048, corner divisor: 3.67890583550333, corner exponent: 2.3348231010915717, id: 45295, score: 58
gen alive: 17, params: corner divisor: 1.4141726915481594, corner exponent: 2.2736765941280996, min opp score: 702.3411492561157, danger divisor: 1.7808221836541742, id: 43983, score: 57
gen alive: 22, params: corner divisor: 2.6577319412927625, corner exponent: 2.7305056666446275, danger divisor: 2.914264166191812, min opp score: 113.04675385150676, id: 43320, score: 54
gen alive: 19, params: min opp score: 270.2358105906869, danger divisor: 1.3608522065063957, corner divisor: 2.865263203361331, corner exponent: 2.032930607312575, id: 44832, score: 54
gen alive: 16, params: corner divisor: 1.8908946854051345, corner exponent: 2.8518345300175136, min opp score: 707.5858144709551, danger divisor: 1.0824483397993152, id: 45317, score: 54
gen alive: 6, params: corner divisor: 1.924872582001383, corner exponent: 2.7305056666446275, danger divisor: 1.0824483397993152, min opp score: 117.71785595641863, id: 42862, score: 54
gen alive: 32, params: corner divisor: 2.862241644415418, corner exponent: 1.9600207001808965, danger divisor: 2.914264166191812, min opp score: 195.01361189096625, id: 38697, score: 52
gen alive: 7, params: corner divisor: 1.5674031545418696, corner exponent: 2.2736765941280996, danger divisor: 2.7610173220029974, min opp score: 604.1855478357489, chip divisor: 6.862968376790808, id: 42675, score: 52
gen alive: 36, params: corner divisor: 1.4141726915481594, corner exponent: 2.2736765941280996, min opp score: 316.239352851628, danger divisor: 1.7808221836541742, id: 43246, score: 51
gen alive: 33, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, min opp score: 139.1762947009676, danger divisor: 1.0824483397993152, id: 42760, score: 51
gen alive: 29, params: corner divisor: 2.862241644415418, corner exponent: 2.65964097961648, min opp score: 122.4941592700856, danger divisor: 4.99543212518088, id: 44896, score: 51
gen alive: 26, params: corner divisor: 1.924872582001383, corner exponent: 2.5580553710702327, danger divisor: 7.597901098502863, min opp score: 273.07473081803323, id: 44307, score: 51
gen alive: 20, params: danger divisor: 3.113721459776067, min opp score: 367.8874002335756, corner divisor: 1.5867073576676085, corner exponent: 2.5580553710702327, id: 41919, score: 51
gen alive: 15, params: corner divisor: 1.8908946854051345, corner exponent: 2.592441284884862, danger divisor: 2.305755204698305, min opp score: 117.71785595641863, id: 45273, score: 51
gen alive: 10, params: corner divisor: 1.6037517190417945, corner exponent: 1.0631436674591175, min opp score: 210.97974675215204, danger divisor: 9.854088168219537, id: 44533, score: 51
gen alive: 30, params: corner divisor: 2.862241644415418, corner exponent: 2.2736765941280996, min opp score: 122.4941592700856, danger divisor: 2.914264166191812, id: 42238, score: 49
gen alive: 29, params: corner divisor: 2.862241644415418, corner exponent: 1.9600207001808965, danger divisor: 7.597901098502863, min opp score: 273.07473081803323, id: 45364, score: 49
gen alive: 26, params: corner divisor: 2.862241644415418, corner exponent: 2.440867028945015, min opp score: 112.88912744156491, danger divisor: 2.914264166191812, id: 43742, score: 49
gen alive: 2, params: danger divisor: 19.661502830315147, min opp score: 264.6591128011194, corner divisor: 3.371944044138247, corner exponent: 2.8318409891791387, id: 44819, score: 49
gen alive: 34, params: corner divisor: 2.862241644415418, corner exponent: 2.65964097961648, min opp score: 122.4941592700856, danger divisor: 2.914264166191812, id: 35093, score: 48
gen alive: 27, params: danger divisor: 2.914264166191812, min opp score: 144.36856232262755, corner divisor: 1.5867073576676085, corner exponent: 2.5580553710702327, id: 43340, score: 48
gen alive: 25, params: corner divisor: 1.924872582001383, corner exponent: 2.5580553710702327, danger divisor: 2.7610173220029974, min opp score: 273.07473081803323, id: 41829, score: 48
gen alive: 24, params: corner divisor: 1.8908946854051345, corner exponent: 2.998997981500411, danger divisor: 1.867775139352426, min opp score: 655.9652603309145, id: 42794, score: 48
gen alive: 21, params: corner divisor: 1.0290058383826213, corner exponent: 1.7520585311117283, danger divisor: 6.563309938317922, min opp score: 139.1762947009676, id: 45868, score: 48
gen alive: 20, params: corner divisor: 1.4141726915481594, corner exponent: 1.7273098896886179, danger divisor: 1.0824483397993152, min opp score: 316.239352851628, id: 42294, score: 48
gen alive: 19, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, danger divisor: 1.3608522065063957, min opp score: 181.24629162465823, id: 45271, score: 48
gen alive: 18, params: min opp score: 131.55130221041034, danger divisor: 1.867775139352426, corner divisor: 2.865263203361331, corner exponent: 2.8518345300175136, id: 44251, score: 48
gen alive: 18, params: corner divisor: 1.0290058383826213, corner exponent: 1.7520585311117283, danger divisor: 2.272649183166843, min opp score: 212.75495741371265, id: 42752, score: 48
gen alive: 15, params: corner divisor: 1.8908946854051345, corner exponent: 2.8664371522540826, danger divisor: 1.286596863030676, min opp score: 180.08846005231828, id: 43268, score: 48
gen alive: 15, params: corner divisor: 1.8908946854051345, corner exponent: 2.8664371522540826, min opp score: 141.34469833936106, danger divisor: 1.7808221836541742, id: 45814, score: 48
gen alive: 13, params: corner divisor: 1.924872582001383, corner exponent: 2.170030322439154, danger divisor: 1.0824483397993152, min opp score: 117.71785595641863, id: 45824, score: 48
gen alive: 12, params: corner divisor: 1.4141726915481594, corner exponent: 2.3348231010915717, danger divisor: 1.3608522065063957, min opp score: 212.75495741371265, id: 45345, score: 48
gen alive: 12, params: corner divisor: 1.924872582001383, corner exponent: 2.7305056666446275, danger divisor: 2.7610173220029974, min opp score: 139.1762947009676, id: 45818, score: 48
gen alive: 9, params: corner divisor: 1.4141726915481594, corner exponent: 2.422847806418605, danger divisor: 2.1363654620757626, min opp score: 212.75495741371265, id: 41221, score: 48
gen alive: 41, params: corner divisor: 1.924872582001383, corner exponent: 1.7520585311117283, danger divisor: 2.272649183166843, min opp score: 181.24629162465823, id: 32528, score: 46
gen alive: 9, params: corner divisor: 4.314737088956841, corner exponent: 2.722913675018148, danger divisor: 1.3608522065063957, min opp score: 422.62866005435524, id: 43223, score: 46
gen alive: 8, params: corner divisor: 1.8908946854051345, corner exponent: 2.8518345300175136, min opp score: 707.5858144709551, danger divisor: 2.640211854803856, id: 45691, score: 46
gen alive: 38, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, min opp score: 148.5830980749371, danger divisor: 1.0824483397993152, id: 40181, score: 45
gen alive: 23, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, min opp score: 148.5830980749371, danger divisor: 3.2260691062100193, id: 45321, score: 45
gen alive: 23, params: corner divisor: 1.8908946854051345, corner exponent: 1.7273098896886179, danger divisor: 2.913508235591733, min opp score: 144.36856232262755, id: 45847, score: 45
gen alive: 22, params: corner divisor: 1.5867073576676085, corner exponent: 2.998997981500411, danger divisor: 1.867775139352426, min opp score: 139.1762947009676, id: 43253, score: 45
gen alive: 20, params: corner divisor: 1.924872582001383, corner exponent: 2.170030322439154, danger divisor: 2.1363654620757626, min opp score: 144.36856232262755, id: 44815, score: 45
gen alive: 20, params: corner divisor: 1.4141726915481594, corner exponent: 2.592441284884862, min opp score: 112.88912744156491, danger divisor: 2.1363654620757626, id: 42830, score: 45
gen alive: 20, params: corner divisor: 4.570091971540577, corner exponent: 2.5580553710702327, danger divisor: 13.617339877237214, min opp score: 159.49531753453243, id: 45362, score: 45
gen alive: 20, params: corner divisor: 1.0290058383826213, corner exponent: 1.7520585311117283, danger divisor: 1.3608522065063957, min opp score: 396.9802891049965, id: 43292, score: 45
gen alive: 19, params: corner divisor: 1.8908946854051345, corner exponent: 2.8664371522540826, danger divisor: 1.286596863030676, min opp score: 513.035326797828, id: 42641, score: 45
gen alive: 18, params: corner divisor: 2.862241644415418, corner exponent: 2.8664371522540826, danger divisor: 2.305755204698305, min opp score: 144.36856232262755, id: 43274, score: 45
gen alive: 17, params: corner divisor: 2.862241644415418, corner exponent: 1.9600207001808965, danger divisor: 8.62187440054989, min opp score: 216.5287543910003, id: 42248, score: 45
gen alive: 17, params: corner divisor: 1.4141726915481594, corner exponent: 2.5870274954414665, danger divisor: 2.305755204698305, min opp score: 181.24629162465823, id: 45877, score: 45
gen alive: 16, params: danger divisor: 6.2582228315211665, min opp score: 140.64327332353807, corner divisor: 1.5674031545418696, corner exponent: 2.8518345300175136, id: 44809, score: 45
gen alive: 15, params: corner divisor: 1.0290058383826213, corner exponent: 1.7520585311117283, danger divisor: 2.272649183166843, min opp score: 267.2839971563025, id: 44729, score: 45
gen alive: 15, params: corner divisor: 1.4141726915481594, corner exponent: 2.592441284884862, min opp score: 141.34469833936106, danger divisor: 1.7808221836541742, id: 45846, score: 45
gen alive: 14, params: corner divisor: 1.4141726915481594, corner exponent: 1.6072913088197553, min opp score: 112.88912744156491, danger divisor: 2.1363654620757626, id: 44304, score: 45
gen alive: 14, params: corner divisor: 16.439538359463516, corner exponent: 2.905045818406487, min opp score: 140.64327332353807, danger divisor: 14.057498486340425, id: 45187, score: 45
gen alive: 13, params: corner divisor: 3.0233095856734087, corner exponent: 2.6666326185896345, danger divisor: 1.3608522065063957, min opp score: 180.08846005231828, id: 43762, score: 45
gen alive: 13, params: corner divisor: 1.4141726915481594, corner exponent: 1.7273098896886179, min opp score: 159.49531753453243, danger divisor: 1.0824483397993152, id: 44791, score: 45
