{'ppo_masked_385': ([1, 170], [2, 186]), 'ppo_masked_1': ([2, 21], [1, 12]), 'zeros': ([0, 9], [0, 2])}
{'ppo_masked_385': ([1, 182], [2, 181]), 'ppo_masked_2': ([2, 12], [1, 15]), 'zeros': ([0, 6], [0, 4])}
{'ppo_masked_385': ([1, 175], [2, 189]), 'ppo_masked_3': ([2, 22], [1, 11]), 'zeros': ([0, 3], [0, 0])}
{'ppo_masked_385': ([1, 167], [2, 174]), 'ppo_masked_4': ([2, 30], [1, 22]), 'zeros': ([0, 3], [0, 4])}
{'ppo_masked_385': ([1, 170], [2, 181]), 'ppo_masked_5': ([2, 25], [1, 15]), 'zeros': ([0, 5], [0, 4])}
{'ppo_masked_385': ([1, 174], [2, 174]), 'ppo_masked_6': ([2, 20], [1, 24]), 'zeros': ([0, 6], [0, 2])}
{'ppo_masked_385': ([1, 171], [2, 176]), 'ppo_masked_7': ([2, 24], [1, 19]), 'zeros': ([0, 5], [0, 5])}
{'ppo_masked_385': ([1, 164], [2, 173]), 'ppo_masked_8': ([2, 31], [1, 24]), 'zeros': ([0, 5], [0, 3])}
{'ppo_masked_385': ([1, 165], [2, 179]), 'ppo_masked_9': ([2, 31], [1, 17]), 'zeros': ([0, 4], [0, 4])}
{'ppo_masked_385': ([1, 161], [2, 168]), 'ppo_masked_10': ([2, 37], [1, 29]), 'zeros': ([0, 2], [0, 3])}
{'ppo_masked_385': ([1, 158], [2, 165]), 'ppo_masked_11': ([2, 38], [1, 31]), 'zeros': ([0, 4], [0, 4])}
{'ppo_masked_385': ([1, 152], [2, 161]), 'ppo_masked_12': ([2, 47], [1, 34]), 'zeros': ([0, 1], [0, 5])}
{'ppo_masked_385': ([1, 136], [2, 151]), 'ppo_masked_13': ([2, 58], [1, 46]), 'zeros': ([0, 6], [0, 3])}
{'ppo_masked_385': ([1, 135], [2, 165]), 'ppo_masked_14': ([2, 58], [1, 33]), 'zeros': ([0, 7], [0, 2])}
{'ppo_masked_385': ([1, 132], [2, 145]), 'ppo_masked_15': ([2, 67], [1, 51]), 'zeros': ([0, 1], [0, 4])}
{'ppo_masked_385': ([1, 121], [2, 149]), 'ppo_masked_16': ([2, 75], [1, 48]), 'zeros': ([0, 4], [0, 3])}
{'ppo_masked_385': ([1, 115], [2, 145]), 'ppo_masked_17': ([2, 78], [1, 51]), 'zeros': ([0, 7], [0, 4])}
{'ppo_masked_385': ([1, 130], [2, 146]), 'ppo_masked_18': ([2, 66], [1, 51]), 'zeros': ([0, 4], [0, 3])}
{'ppo_masked_385': ([1, 124], [2, 134]), 'ppo_masked_19': ([2, 69], [1, 58]), 'zeros': ([0, 7], [0, 8])}
{'ppo_masked_385': ([1, 116], [2, 131]), 'ppo_masked_20': ([2, 82], [1, 66]), 'zeros': ([0, 2], [0, 3])}
{'ppo_masked_385': ([1, 112], [2, 125]), 'ppo_masked_21': ([2, 83], [1, 72]), 'zeros': ([0, 5], [0, 3])}
{'ppo_masked_385': ([1, 133], [2, 124]), 'ppo_masked_22': ([2, 64], [1, 72]), 'zeros': ([0, 3], [0, 4])}
{'ppo_masked_385': ([1, 122], [2, 138]), 'ppo_masked_23': ([2, 69], [1, 58]), 'zeros': ([0, 9], [0, 4])}
{'ppo_masked_385': ([1, 126], [2, 132]), 'ppo_masked_24': ([2, 68], [1, 66]), 'zeros': ([0, 6], [0, 2])}
{'ppo_masked_385': ([1, 130], [2, 123]), 'ppo_masked_25': ([2, 63], [1, 66]), 'zeros': ([0, 7], [0, 11])}
{'ppo_masked_385': ([1, 141], [2, 136]), 'ppo_masked_26': ([2, 55], [1, 58]), 'zeros': ([0, 4], [0, 6])}
{'ppo_masked_385': ([1, 115], [2, 129]), 'ppo_masked_27': ([2, 79], [1, 70]), 'zeros': ([0, 6], [0, 1])}
{'ppo_masked_385': ([1, 128], [2, 121]), 'ppo_masked_28': ([2, 64], [1, 75]), 'zeros': ([0, 8], [0, 4])}
{'ppo_masked_385': ([1, 126], [2, 115]), 'ppo_masked_29': ([2, 72], [1, 80]), 'zeros': ([0, 2], [0, 5])}
{'ppo_masked_385': ([1, 117], [2, 132]), 'ppo_masked_30': ([2, 80], [1, 66]), 'zeros': ([0, 3], [0, 2])}
{'ppo_masked_385': ([1, 112], [2, 117]), 'ppo_masked_31': ([2, 83], [1, 79]), 'zeros': ([0, 5], [0, 4])}
{'ppo_masked_385': ([1, 111], [2, 138]), 'ppo_masked_32': ([2, 85], [1, 58]), 'zeros': ([0, 4], [0, 4])}
{'ppo_masked_385': ([1, 126], [2, 132]), 'ppo_masked_33': ([2, 70], [1, 62]), 'zeros': ([0, 4], [0, 6])}
{'ppo_masked_385': ([1, 110], [2, 125]), 'ppo_masked_34': ([2, 87], [1, 70]), 'zeros': ([0, 3], [0, 5])}
{'ppo_masked_385': ([1, 120], [2, 127]), 'ppo_masked_35': ([2, 77], [1, 67]), 'zeros': ([0, 3], [0, 6])}
{'ppo_masked_385': ([1, 113], [2, 138]), 'ppo_masked_36': ([2, 85], [1, 60]), 'zeros': ([0, 2], [0, 2])}
